Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,Attrition
0.5476190476190477,0.7158196134574086,0.0,0.25,1,0.0,0.3333333333333333,0.914285714285714,0.6666666666666667,0.25,1.0,0.2624539231174302,0.6980525998795423,0.8888888888888888,0.0,3,0.0,80,0.0,0.2,0.0,0.0,0.15,0.2222222222222222,0.0,0.2941176470588235,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
0.7380952380952379,0.1267000715819613,0.25,0.0,1,0.0004837929366231,0.6666666666666667,0.4428571428571429,0.3333333333333333,0.25,0.3333333333333333,0.2170089520800421,0.916000803051596,0.1111111111111111,0.8571428571428571,4,1.0,80,0.3333333333333333,0.25,0.5,0.6666666666666667,0.25,0.3888888888888888,0.0666666666666666,0.4117647058823529,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0.4523809523809524,0.9098067287043664,0.0357142857142857,0.25,1,0.0014513788098693,1.0,0.8857142857142857,0.3333333333333333,0.0,0.6666666666666667,0.0569246972090574,0.0121260791005822,0.6666666666666666,0.2857142857142857,3,0.3333333333333333,80,0.0,0.175,0.5,0.6666666666666667,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
0.3571428571428571,0.9234073013600572,0.0714285714285714,0.75,1,0.0019351717464925,1.0,0.3714285714285714,0.6666666666666667,0.0,0.6666666666666667,0.1000526592943654,0.845814093555511,0.1111111111111111,0.0,3,0.6666666666666667,80,0.0,0.2,0.5,0.6666666666666667,0.2,0.3888888888888888,0.2,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0.2142857142857142,0.3500357909806728,0.0357142857142857,0.0,1,0.0029027576197387,0.0,0.1428571428571428,0.6666666666666667,0.0,0.3333333333333333,0.1294892048446551,0.5837382051796828,1.0,0.0714285714285714,3,1.0,80,0.3333333333333333,0.15,0.5,0.6666666666666667,0.05,0.1111111111111111,0.1333333333333333,0.1176470588235294,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0.3333333333333333,0.64638511095204,0.0357142857142857,0.25,1,0.0033865505563618,1.0,0.7,0.6666666666666667,0.0,1.0,0.1084254870984728,0.3922907046777755,0.0,0.1428571428571428,3,0.6666666666666667,80,0.0,0.2,0.3333333333333333,0.3333333333333333,0.175,0.3888888888888888,0.2,0.3529411764705882,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0.976190476190476,0.8747315676449534,0.0714285714285714,0.5,1,0.0043541364296081,0.6666666666666667,0.7285714285714284,1.0,0.0,0.0,0.0874670879410215,0.316000803051596,0.4444444444444444,0.6428571428571427,4,0.0,80,1.0,0.3,0.5,0.3333333333333333,0.025,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0.2857142857142856,0.8990694345025053,0.8214285714285714,0.0,1,0.0048379293662312,1.0,0.5285714285714285,0.6666666666666667,0.0,0.6666666666666667,0.088678251711427,0.4513551495683597,0.1111111111111111,0.7857142857142857,4,0.3333333333333333,80,0.3333333333333333,0.025,0.3333333333333333,0.6666666666666667,0.025,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0.4761904761904761,0.0816034359341446,0.7857142857142857,0.5,1,0.0053217223028543,1.0,0.2,0.3333333333333333,0.5,0.6666666666666667,0.4484992101105844,0.2687412166231681,0.0,0.7142857142857143,4,0.3333333333333333,80,0.0,0.25,0.3333333333333333,0.6666666666666667,0.225,0.3888888888888888,0.0666666666666666,0.4705882352941176,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0.4285714285714285,0.8568360773085182,0.9285714285714284,0.5,1,0.0058055152394775,0.6666666666666667,0.914285714285714,0.6666666666666667,0.25,0.6666666666666667,0.2226434965771458,0.5815298132905039,0.6666666666666666,0.1428571428571428,3,0.3333333333333333,80,0.6666666666666666,0.425,0.5,0.3333333333333333,0.175,0.3888888888888888,0.4666666666666667,0.4117647058823529,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.4047619047619047,0.5060844667143879,0.5357142857142857,0.5,1,0.0062893081761006,0.0,0.7714285714285714,1.0,0.0,0.3333333333333333,0.0746182201158504,0.5775948604697851,0.0,0.1428571428571428,3,0.6666666666666667,80,0.3333333333333333,0.15,0.8333333333333333,0.6666666666666667,0.125,0.2222222222222222,0.0,0.1764705882352941,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
0.2619047619047619,0.0365068002863278,0.5,0.25,1,0.0067731011127237,1.0,0.2714285714285714,0.3333333333333333,0.25,0.6666666666666667,0.1676671932596103,0.425135514956836,0.0,0.0714285714285714,3,1.0,80,0.0,0.25,0.5,0.6666666666666667,0.225,0.2777777777777778,0.0,0.4705882352941176,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
